away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Brady Singer,Kansas City Royals,Cloudy,2024-04-17,4,2,0,0,0,746807,Jonathan Cannon,Chicago White Sox,62,Guaranteed Rate Field,"20 mph, R To L"
Michael Wacha,Kansas City Royals,Cloudy,2024-04-17,1,2,0,0,0,746809,Erick Fedde,Chicago White Sox,61,Guaranteed Rate Field,"21 mph, R To L"
Marcus Stroman,New York Yankees,Roof Closed,2024-04-17,6,4,0,0,0,744948,Kevin Gausman,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Jake Irvin,Washington Nationals,Partly Cloudy,2024-04-17,2,0,1,2,0,746159,Landon Knack,Los Angeles Dodgers,75,Dodger Stadium,"2 mph, Out To RF"
Steven Matz,St. Louis Cardinals,Partly Cloudy,2024-04-17,3,6,0,0,0,745671,Paul Blackburn,Oakland Athletics,68,Oakland Coliseum,"7 mph, Out To RF"
Jordan Wicks,Chicago Cubs,Roof Closed,2024-04-17,5,3,1,0,1,747212,Brandon Pfaadt,Arizona Diamondbacks,75,Chase Field,"0 mph, None"
Andrew Abbott,Cincinnati Reds,Partly Cloudy,2024-04-17,1,5,0,0,0,745267,Bryce Miller,Seattle Mariners,51,T-Mobile Park,"2 mph, L To R"
Ryan Feltner,Colorado Rockies,Cloudy,2024-04-17,6,7,1,1,4,745591,Cristopher Sánchez,Philadelphia Phillies,60,Citizens Bank Park,"11 mph, R To L"
Reid Detmers,Los Angeles Angels,Dome,2024-04-17,5,4,1,1,0,745105,Zack Littell,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Ben Lively,Cleveland Guardians,Cloudy,2024-04-17,0,2,0,0,0,746973,Tanner Houck,Boston Red Sox,51,Fenway Park,"4 mph, R To L"
Griffin Canning,Los Angeles Angels,Dome,2024-04-18,1,2,1,0,2,745104,Ryan Pepiot,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Jack Leiter,Texas Rangers,Sunny,2024-04-18,9,7,1,1,0,746485,Kenta Maeda,Detroit Tigers,62,Comerica Park,"11 mph, Out To LF"
Carlos Carrasco,Cleveland Guardians,Cloudy,2024-04-18,5,4,1,0,1,746970,Brennan Bernardino,Boston Red Sox,48,Fenway Park,"8 mph, L To R"
Ryne Nelson,Arizona Diamondbacks,Partly Cloudy,2024-04-18,0,5,0,0,0,745356,Logan Webb,San Francisco Giants,57,Oracle Park,"13 mph, Out To RF"
A.J. Puk,Miami Marlins,Sunny,2024-04-19,3,8,1,0,2,746892,Jameson Taillon,Chicago Cubs,55,Wrigley Field,"19 mph, L To R"
Tyler Anderson,Los Angeles Angels,Clear,2024-04-19,1,7,0,0,0,746729,Nick Lodolo,Cincinnati Reds,61,Great American Ball Park,"11 mph, Out To CF"
Brayan Bello,Boston Red Sox,Cloudy,2024-04-19,8,1,1,2,0,745518,Quinn Priester,Pittsburgh Pirates,63,PNC Park,"9 mph, Out To LF"
Garrett Crochet,Chicago White Sox,Cloudy,2024-04-19,0,7,1,0,3,745592,Spencer Turnbull,Philadelphia Phillies,56,Citizens Bank Park,"7 mph, Out To CF"
Justin Verlander,Houston Astros,Overcast,2024-04-19,5,3,0,0,0,744872,MacKenzie Gore,Washington Nationals,56,Nationals Park,"3 mph, Out To LF"
Tyler Alexander,Tampa Bay Rays,Overcast,2024-04-19,3,5,0,0,0,745758,Clarke Schmidt,New York Yankees,51,Yankee Stadium,"10 mph, R To L"
Joe Boyle,Oakland Athletics,Partly Cloudy,2024-04-19,2,10,1,1,0,746650,Triston McKenzie,Cleveland Guardians,55,Progressive Field,"7 mph, L To R"
Andrew Heaney,Texas Rangers,Cloudy,2024-04-19,3,8,1,1,1,747136,Chris Sale,Atlanta Braves,80,Truist Park,"6 mph, Out To LF"
Dean Kremer,Baltimore Orioles,Partly Cloudy,2024-04-19,4,9,0,0,0,746325,Alec Marsh,Kansas City Royals,59,Kauffman Stadium,"7 mph, L To R"
Jack Flaherty,Detroit Tigers,Overcast,2024-04-19,5,4,1,1,2,745922,Joe Ryan,Minnesota Twins,38,Target Field,"16 mph, Out To RF"
Freddy Peralta,Milwaukee Brewers,Cloudy,2024-04-19,2,1,0,0,0,745189,Kyle Gibson,St. Louis Cardinals,58,Busch Stadium,"8 mph, In From LF"
Yariel Rodríguez,Toronto Blue Jays,Partly Cloudy,2024-04-19,5,1,1,1,0,745430,Matt Waldron,San Diego Padres,62,Petco Park,"6 mph, L To R"
Sean Manaea,New York Mets,Clear,2024-04-19,9,4,0,0,0,746160,Yoshinobu Yamamoto,Los Angeles Dodgers,61,Dodger Stadium,"5 mph, Out To RF"
Jordan Montgomery,Arizona Diamondbacks,Clear,2024-04-19,17,1,0,0,0,745352,Blake Snell,San Francisco Giants,56,Oracle Park,"16 mph, Out To CF"
Zach Eflin,Tampa Bay Rays,Partly Cloudy,2024-04-20,2,0,0,0,0,745760,Nestor Cortes,New York Yankees,60,Yankee Stadium,"6 mph, R To L"
Reese Olson,Detroit Tigers,Partly Cloudy,2024-04-20,3,4,0,0,0,745921,Bailey Ober,Minnesota Twins,42,Target Field,"12 mph, L To R"
DL Hall,Milwaukee Brewers,Partly Cloudy,2024-04-20,12,5,1,2,1,745190,Miles Mikolas,St. Louis Cardinals,58,Busch Stadium,"11 mph, Out To CF"
Jesús Luzardo,Miami Marlins,Cloudy,2024-04-20,3,2,0,0,0,746893,Javier Assad,Chicago Cubs,46,Wrigley Field,"13 mph, L To R"
Roddery Muñoz,Miami Marlins,Overcast,2024-04-20,3,5,1,0,1,746891,Shota Imanaga,Chicago Cubs,42,Wrigley Field,"6 mph, Out To RF"
Ronel Blanco,Houston Astros,Sunny,2024-04-20,4,5,1,1,1,744865,Trevor Williams,Washington Nationals,71,Nationals Park,"5 mph, In From LF"
José Buttó,New York Mets,Partly Cloudy,2024-04-20,6,4,1,1,1,746156,Gavin Stone,Los Angeles Dodgers,66,Dodger Stadium,"2 mph, L To R"
Kutter Crawford,Boston Red Sox,Partly Cloudy,2024-04-20,4,2,1,2,0,745515,Mitch Keller,Pittsburgh Pirates,57,PNC Park,"19 mph, Out To CF"
Zac Gallen,Arizona Diamondbacks,Sunny,2024-04-20,3,7,1,1,2,745354,Kyle Harrison,San Francisco Giants,63,Oracle Park,"10 mph, Out To CF"
Michael Soroka,Chicago White Sox,Clear,2024-04-20,5,9,0,0,0,745590,Zack Wheeler,Philadelphia Phillies,68,Citizens Bank Park,"17 mph, Out To RF"
Alex Wood,Oakland Athletics,Partly Cloudy,2024-04-20,3,6,1,0,2,746651,Logan Allen,Cleveland Guardians,47,Progressive Field,"9 mph, In From CF"
Patrick Sandoval,Los Angeles Angels,Partly Cloudy,2024-04-20,5,7,1,2,5,746726,Graham Ashcraft,Cincinnati Reds,54,Great American Ball Park,"11 mph, Out To CF"
Corbin Burnes,Baltimore Orioles,Partly Cloudy,2024-04-20,9,7,0,0,0,746324,Cole Ragans,Kansas City Royals,53,Kauffman Stadium,"10 mph, L To R"
Nathan Eovaldi,Texas Rangers,Partly Cloudy,2024-04-20,2,5,0,0,0,747135,Charlie Morton,Atlanta Braves,69,Truist Park,"8 mph, Out To LF"
Luis Castillo,Seattle Mariners,Overcast,2024-04-20,7,0,0,0,0,746570,Dakota Hudson,Colorado Rockies,33,Coors Field,"3 mph, In From CF"
José Berríos,Toronto Blue Jays,Clear,2024-04-20,5,2,1,3,0,745431,Randy Vásquez,San Diego Padres,64,Petco Park,"11 mph, L To R"
Hunter Brown,Houston Astros,Cloudy,2024-04-21,0,6,1,0,3,744866,Mitchell Parker,Washington Nationals,53,Nationals Park,"3 mph, Out To LF"
Josh Winckowski,Boston Red Sox,Cloudy,2024-04-21,6,1,1,0,1,745514,Martín Pérez,Pittsburgh Pirates,48,PNC Park,"10 mph, Out To CF"
Nick Nastrini,Chicago White Sox,Cloudy,2024-04-21,2,8,1,2,3,745588,Aaron Nola,Philadelphia Phillies,51,Citizens Bank Park,"7 mph, L To R"
Aaron Civale,Tampa Bay Rays,Overcast,2024-04-21,4,5,1,0,1,745759,Luis Gil,New York Yankees,49,Yankee Stadium,"10 mph, Out To CF"
José Soriano,Los Angeles Angels,Cloudy,2024-04-21,0,3,0,0,0,746727,Frankie Montas,Cincinnati Reds,49,Great American Ball Park,"9 mph, Out To CF"
Ross Stripling,Oakland Athletics,Cloudy,2024-04-21,2,6,0,0,0,746652,Tanner Bibee,Cleveland Guardians,44,Progressive Field,"4 mph, L To R"
Cole Irvin,Baltimore Orioles,Sunny,2024-04-21,5,0,0,0,0,746316,Seth Lugo,Kansas City Royals,55,Kauffman Stadium,"9 mph, L To R"
Casey Mize,Detroit Tigers,Sunny,2024-04-21,6,1,1,2,0,745920,Louis Varland,Minnesota Twins,56,Target Field,"11 mph, Out To CF"
Colin Rea,Milwaukee Brewers,Sunny,2024-04-21,2,0,0,0,0,745192,Sonny Gray,St. Louis Cardinals,56,Busch Stadium,"14 mph, L To R"
Edward Cabrera,Miami Marlins,Sunny,2024-04-21,6,3,0,0,0,746894,Kyle Hendricks,Chicago Cubs,55,Wrigley Field,"5 mph, Out To RF"
George Kirby,Seattle Mariners,Sunny,2024-04-21,1,2,0,0,0,746568,Cal Quantrill,Colorado Rockies,54,Coors Field,"2 mph, In From CF"
Emerson Hancock,Seattle Mariners,Partly Cloudy,2024-04-21,10,2,1,0,2,746572,Peter Lambert,Colorado Rockies,63,Coors Field,"7 mph, Out To CF"
Slade Cecconi,Arizona Diamondbacks,Sunny,2024-04-21,5,3,0,0,0,745353,Jordan Hicks,San Francisco Giants,71,Oracle Park,"8 mph, Varies"
Adrian Houser,New York Mets,Sunny,2024-04-21,0,10,0,0,0,746154,Tyler Glasnow,Los Angeles Dodgers,75,Dodger Stadium,"8 mph, Out To RF"
Chris Bassitt,Toronto Blue Jays,Sunny,2024-04-21,3,6,1,0,1,745434,Joe Musgrove,San Diego Padres,66,Petco Park,"10 mph, L To R"
Michael Lorenzen,Texas Rangers,Clear,2024-04-21,6,4,1,0,3,747133,Darius Vines,Atlanta Braves,58,Truist Park,"11 mph, Out To LF"
JP Sears,Oakland Athletics,Sunny,2024-04-22,2,0,0,0,0,745757,Carlos Rodón,New York Yankees,54,Yankee Stadium,"10 mph, Varies"
Ranger Suárez,Philadelphia Phillies,Clear,2024-04-22,7,0,0,0,0,746723,Hunter Greene,Cincinnati Reds,63,Great American Ball Park,"7 mph, R To L"
Joe Ross,Milwaukee Brewers,Clear,2024-04-22,2,4,1,0,1,745519,Jared Jones,Pittsburgh Pirates,59,PNC Park,"7 mph, Out To LF"
