away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Cal Quantrill,Cleveland Guardians,Cloudy,2023-06-30,1,10,0,0,0,717559,Justin Steele,Chicago Cubs,86,Wrigley Field,"6 mph, R To L"
Seth Lugo,San Diego Padres,Partly Cloudy,2023-06-30,5,7,0,0,0,717557,Graham Ashcraft,Cincinnati Reds,89,Great American Ball Park,"6 mph, R To L"
Josiah Gray,Washington Nationals,Overcast,2023-06-30,2,1,0,0,0,717563,Cristopher Sánchez,Philadelphia Phillies,85,Citizens Bank Park,"3 mph, Out To CF"
Pablo López,Minnesota Twins,Cloudy,2023-06-30,8,1,1,1,0,717561,Dean Kremer,Baltimore Orioles,73,Oriole Park at Camden Yards,"5 mph, Out To LF"
Freddy Peralta,Milwaukee Brewers,Partly Cloudy,2023-06-30,7,8,0,0,0,717562,Osvaldo Bido,Pittsburgh Pirates,83,PNC Park,"8 mph, Out To LF"
James Paxton,Boston Red Sox,Roof Closed,2023-06-30,5,0,0,0,0,717555,José Berríos,Toronto Blue Jays,68,Rogers Centre,"0 mph, None"
Alex Cobb,San Francisco Giants,Partly Cloudy,2023-06-30,5,4,1,0,1,717556,Carlos Carrasco,New York Mets,77,Citi Field,"8 mph, Out To LF"
Bryan Hoeing,Miami Marlins,Partly Cloudy,2023-06-30,4,16,1,0,5,717558,Michael Soroka,Atlanta Braves,76,Truist Park,"3 mph, In From CF"
Ronel Blanco,Houston Astros,Roof Closed,2023-06-30,5,3,1,1,1,717554,Jon Gray,Texas Rangers,74,Globe Life Field,"0 mph, None"
Michael Lorenzen,Detroit Tigers,Partly Cloudy,2023-06-30,5,8,0,0,0,717552,Austin Gomber,Colorado Rockies,66,Coors Field,"4 mph, L To R"
Bobby Miller,Los Angeles Dodgers,Cloudy,2023-06-30,9,3,1,1,0,717553,Alec Marsh,Kansas City Royals,97,Kauffman Stadium,"6 mph, Out To RF"
Tommy Henry,Arizona Diamondbacks,Clear,2023-06-30,6,2,1,1,0,717549,Griffin Canning,Los Angeles Angels,76,Angel Stadium,"8 mph, Out To CF"
Tanner Banks,Chicago White Sox,Clear,2023-06-30,4,7,1,1,0,717551,Luis Medina,Oakland Athletics,71,Oakland Coliseum,"11 mph, Out To RF"
Shane McClanahan,Tampa Bay Rays,Clear,2023-06-30,15,4,0,0,0,717548,Bryce Miller,Seattle Mariners,75,T-Mobile Park,"4 mph, L To R"
Michael Wacha,San Diego Padres,Overcast,2023-07-01,12,5,0,0,0,717539,Brandon Williamson,Cincinnati Reds,79,Great American Ball Park,"7 mph, Varies"
Luis Severino,New York Yankees,Partly Cloudy,2023-07-01,4,11,0,0,0,717545,Jack Flaherty,St. Louis Cardinals,90,Busch Stadium,"9 mph, Out To LF"
Ian Hamilton,New York Yankees,Cloudy,2023-07-01,6,2,1,1,1,717550,Matthew Liberatore,St. Louis Cardinals,76,Busch Stadium,"5 mph, Out To LF"
Kutter Crawford,Boston Red Sox,Overcast,2023-07-01,7,6,1,0,1,717547,Yusei Kikuchi,Toronto Blue Jays,80,Rogers Centre,"11 mph, R To L"
